word,Part of Speech
held,NN
happened,VBD
alisha,JJ
ebrahimji,NN
updated,VBD
pm,JJ
et,FW
fri,NN
traveled,VBD
ku,JJ
klux,NN
klan,NN
document,NN
reactions,NNS
gopro,VBP
strapped,VBN
chest,JJS
shirt,NN
view,NN
subjects,NNS
lapel,VBP
mic,JJ
body,NN
road,NN
handmade,VBD
poster,JJ
north,JJ
capital,NN
rock,NN
light,NN
